,state,action,reward,value
77,"(1, 4)",left,-0.349030329381919,-0.05075406492139042
78,"(1, 4)",right,0.12310562561766059,0.10772820219388454
79,"(1, 4)",upper-left,-1.2620591815168432,-0.20366296960202834
80,"(1, 4)",upper-right,-0.8768943743823394,-0.13048165624647262
81,"(1, 4)",lower-left,0.5175543501536715,0.07077031653440496
82,"(1, 4)",lower-right,1.1231056256176606,0.2865132834088525
83,"(1, 5)",up,-1.0,1.241767479751296
84,"(1, 5)",down,1.0,17.782317656761993
85,"(1, 5)",left,-0.12310562561766059,0.085002132572934
86,"(1, 5)",right,-0.12310562561766059,0.031977598652603266
87,"(1, 5)",upper-left,-1.0990195135927845,-0.1638145371471421
88,"(1, 5)",upper-right,-1.0990195135927845,1.012206925476277
89,"(1, 5)",lower-left,0.8377223398316205,0.4473551637815083
90,"(1, 5)",lower-right,0.8377223398316205,0.40743055590492194
91,"(1, 6)",up,-0.9759138879751239,4.556010692161061
92,"(1, 6)",down,0.9608279654492811,1.9083287162865759
93,"(1, 6)",left,0.12310562561766059,5.130962539117954
94,"(1, 6)",right,-0.349030329381919,3.926961408481011
95,"(1, 6)",upper-left,-0.8768943743823394,1.1211105933588499
96,"(1, 6)",upper-right,-1.2620591815168432,-0.1656935881885812
97,"(1, 6)",lower-left,1.1231056256176606,51.12760997153449
98,"(1, 6)",lower-right,0.5175543501536715,3.9016487372815605
99,"(1, 7)",up,-0.9130288521349241,-0.15163679509435884
100,"(1, 7)",down,0.8665846795355905,0.10580856846831954
101,"(1, 7)",left,0.349030329381919,6.686370587235727
102,"(1, 7)",right,-0.5278640450004204,-0.10751112436693191
103,"(1, 7)",upper-left,-0.6268835585932049,0.34216384139188283
104,"(1, 7)",upper-right,-1.3588159398457211,-0.2790022422316587
105,"(1, 7)",lower-left,1.3098582948312,0.1400602191580082
106,"(1, 7)",lower-right,0.22949526788029484,0.6155147451199074
107,"(1, 8)",up,-0.8309518948453007,2.8004764432186686
108,"(1, 8)",down,0.7573593128807152,3.856128658084058
109,"(1, 8)",left,0.5278640450004204,0.06733373473550294
110,"(1, 8)",right,-0.6568542494923806,-0.07417571146569468
111,"(1, 8)",upper-left,-0.38516480713450374,-0.10003877441235662
112,"(1, 8)",upper-right,-1.4031242374328485,-0.12576509350782397
113,"(1, 8)",lower-left,1.3944487245360109,37.70106989690179
114,"(1, 8)",lower-right,-0.0,0.05321375998077008
115,"(1, 9)",up,-0.746269987940468,-0.0746269987940468
116,"(1, 9)",down,0.6568542494923806,0.16895091933337958
117,"(1, 9)",left,0.6568542494923806,6.786518630543647
118,"(1, 9)",upper-left,-0.17409764535292016,-0.00838005117958443
119,"(1, 9)",lower-left,1.4142135623730958,0.0
120,"(2, 0)",up,-0.5721723425875478,-0.11715052151752282
121,"(2, 0)",down,0.445787087710797,0.0
122,"(2, 0)",right,0.8309518948453007,8.136640724286355
123,"(2, 0)",upper-right,0.17409764535292016,0.025636188294260495
124,"(2, 0)",lower-right,1.3588159398457211,1.5612102668023398
125,"(2, 1)",up,-0.6568542494923806,0.0865244689057593
126,"(2, 1)",down,0.5278640450004204,4.783474161412198
127,"(2, 1)",left,-0.8309518948453007,-0.17696204970500196
128,"(2, 1)",right,0.7573593128807152,0.17261603403618891
129,"(2, 1)",upper-left,-1.4031242374328485,-0.28471496385745726
130,"(2, 1)",upper-right,-0.0,1.2899787005341135
131,"(2, 1)",lower-left,-0.38516480713450374,-0.01620377279261231
